NameInitials,Weight,Trial1,Trial2,Trial3,Trial4,Trial5,Average
SJ (1),61.7,33,30,29,35,37,33
CX (2),62.2,18,22,21,21,23,21
NB (3),64.1,26,24,28,27,30,27
JF (4),65.2,50,46,50,48,51,49
RB (5),68.3,42,41,45,46,47,44
JS (6),70.7,47,46,51,54,56,51
MH (7),71.5,44,42,46,47,49,46
KS (8),72.7,45,43,47,44,48,45
AJ (9),73.3,20,29,21,27,31,26
IS (10),78.2,36,39,40,39,42,39
MD (11),80.2,56,60,65,62,67,62
DP (12),81.3,45,45,47,46,48,46
KY (13),82.5,19,20,22,24,25,22
SR (14),85.7,24,26,37,42,45,39
KB (15),87.2,46,48,45,50,50,48
AP (16),91.1,21,23,22,22,24,22
KJS (17),96.3,15,20,18,18,21,18
SW (18),98.3,9,10,8,10,11,10
SJ (19),99.7,,,,,,
MP (20),99.9,10,11,10,12,14,11
